id_classe_equivalencia,k_frequencia,1.i.1_uf_onde_mora,2.i_tempo_de_experiencia_em_dados,2.j_tempo_de_experiencia_em_ti,1.l_nivel_de_ensino,1.m_área_de_formação,1.b_genero,2.b_setor,2.c_numero_de_funcionarios,2.f_cargo_atual,2.h_faixa_salarial
3415,1,PR,de 3 a 4 anos,Menos de 1 ano,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Entretenimento ou Esportes,de 101 a 500,Analista de Dados/Data Analyst,de R$ 6.001/mês a R$ 8.000/mês
3416,1,PR,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Feminino,Indústria,Acima de 3.000,Engenheiro de Machine Learning/ML Engineer/AI Engineer,de R$ 8.001/mês a R$ 12.000/mês
3417,1,PR,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Feminino,Tecnologia/Fábrica de Software,Acima de 3.000,Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês
3418,1,PR,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Outra Opção,Acima de 3.000,Analista de Dados/Data Analyst,de R$ 8.001/mês a R$ 12.000/mês
3419,1,PR,de 3 a 4 anos,de 1 a 2 anos,Estudante de Graduação,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Setor de Energia,de 501 a 1.000,Analista de Negócios/Business Analyst,de R$ 4.001/mês a R$ 6.000/mês
3420,1,PR,de 3 a 4 anos,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Feminino,Outra Opção,de 101 a 500,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 25.001/mês a R$ 30.000/mês
3421,1,PR,de 3 a 4 anos,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Agronegócios,de 51 a 100,Analista de BI/BI Analyst,de R$ 4.001/mês a R$ 6.000/mês
3422,1,PR,de 3 a 4 anos,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Outra Opção,de 1.001 a 3.000,Cientista de Dados/Data Scientist,de R$ 6.001/mês a R$ 8.000/mês
3423,1,PR,de 3 a 4 anos,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Tecnologia/Fábrica de Software,Acima de 3.000,Arquiteto de Dados/Data Architect,de R$ 12.001/mês a R$ 16.000/mês
3424,1,PR,de 3 a 4 anos,de 1 a 2 anos,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Masculino,Finanças ou Bancos,Acima de 3.000,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 12.001/mês a R$ 16.000/mês
